id,title,description,poster_pre_url,poster_url,backdrop_url,rate
560,Тысяча и один,Инес похищает своего сына из приёмной семьи и пытается обеспечить ему лучшую жизнь.,https://image.openmoviedb.com/kinopoisk-images/1898899/5af0240c-9171-4f46-83e9-d6513acc4d71/x1000,https://image.openmoviedb.com/kinopoisk-images/1898899/5af0240c-9171-4f46-83e9-d6513acc4d71/orig,"",6.674499988555908
561,Чудесная история Генри Шугара,"История Генри Шугара, который способен видеть сквозь предметы и предсказывать будущее с помощью украденной им книги.",https://image.openmoviedb.com/kinopoisk-images/10671298/6f1588ef-76e6-4d44-996f-8161c00b8d6b/x1000,https://image.openmoviedb.com/kinopoisk-images/10671298/6f1588ef-76e6-4d44-996f-8161c00b8d6b/orig,"",7.408499717712402
562,Вера Дрейк,"Вера Дрэйк, немолодая добропорядочная женщина, убирает квартиры и еще успевает ухаживать за больной матерью. Но есть в ее жизни и тайная сторона – она посещает женщин и помогает им избавляться от нежелательной беременности. Между тем, по английским законам 50-х такая практика считается незаконной, и когда власти узнают о деятельности Веры, ее жизнь превращается в ад...",https://image.openmoviedb.com/kinopoisk-images/1704946/9958f8ee-654f-4557-8a90-ac30cbd3107e/x1000,https://image.openmoviedb.com/kinopoisk-images/1704946/9958f8ee-654f-4557-8a90-ac30cbd3107e/orig,"",7.441499710083008
563,Ромео и Джульетта,"Двое молодых людей из враждующих семей влюбляются друг в друга, но судьба не позволяет им быть вместе. Лишь смерть на пике страсти позволяет спастись от рока и сохранить свою любовь в веках...",https://image.openmoviedb.com/kinopoisk-images/1704946/e28c44f1-f0e9-428f-bed1-34b7b8025886/x1000,https://image.openmoviedb.com/kinopoisk-images/1704946/e28c44f1-f0e9-428f-bed1-34b7b8025886/orig,"",6.321499824523926
564,Натюрморт,"После строительства плотины древний город Фэнцзе у нового мощного гидроузла Санься почти затоплен, кругом ведется снос покинутых домов, люди переселяются в массовом порядке. В это время и в это место  приезжает шахтер Хань Саньмин, чтобы разыскать бывшую жену, которая родом отсюда, но ее дом уже давно под водой. Хань Саньмин присоединяется к бригаде по сносу домов и продолжает  поиски. Медсестра Шэнь Хун приехала в Фэнцзе за мужем, с которым не виделась уже два года, и его тоже оказывается нелегко найти.",https://image.openmoviedb.com/kinopoisk-images/1777765/dd83f424-fcb4-4522-a12f-1e13bc726288/x1000,https://image.openmoviedb.com/kinopoisk-images/1777765/dd83f424-fcb4-4522-a12f-1e13bc726288/orig,"",7.100500106811523
565,Правосудие свершилось,"Версаль. 20 присяжных созываются на трехнедельный судебный процесс. Семь (и два запасных) отбирают жребием для того, чтобы решить судьбу Эльзы Люнденштейн. Эльза - директор фармацевтической лаборатории, родившаяся в Париже в литовской семье, - обвиняется в убийстве любовника, неизлечимо больного раком, которому она торжественно поклялась положить конец его страданиям, если они станут невыносимыми.",https://image.openmoviedb.com/kinopoisk-images/1629390/4709b269-8b27-4bce-8ae8-d6d45f1b5037/x1000,https://image.openmoviedb.com/kinopoisk-images/1629390/4709b269-8b27-4bce-8ae8-d6d45f1b5037/orig,"",6.8520002365112305
566,Перед дождем,"Главным героем можно условно назвать фотографа, возвращающегося в родную деревню после долгих лет скитаний по горячим точкам планеты. Он не может принять новой реальности ненависти и кровной мести между людьми, с которыми когда-то жил, ходил в школу, играл.",https://image.openmoviedb.com/kinopoisk-images/1898899/ffbf9e20-0db5-439d-9992-ba62158618c0/x1000,https://image.openmoviedb.com/kinopoisk-images/1898899/ffbf9e20-0db5-439d-9992-ba62158618c0/orig,"",7.537500381469727
567,Зеленый луч,"Юной героине, парижанке Дельфин, перед самым отъездом в Грецию друзья сообщают, что едут без нее, и она остается одна. Пытаясь чем-то заполнить внезапно навалившийся отпуск, Дельфин едет то к одним друзьям, то к другим, затем к морю, в горы и снова к морю - все бесполезно, всюду ее ждет одно лишь душевное одиночество. Блеснет ли и для Дельфин когда-нибудь зеленый луч, луч надежды..?",https://image.openmoviedb.com/kinopoisk-images/1600647/21250efd-d7d3-4890-81df-89b57e265e7b/x1000,https://image.openmoviedb.com/kinopoisk-images/1600647/21250efd-d7d3-4890-81df-89b57e265e7b/orig,"",7.454500198364258
568,Священная римская кольцевая,"Римская кольцевая дорога - самая длинная автомагистраль в Италии, огибающая столицу. Режиссер наблюдает за жизнями горожан, создавая галерею грустных и забавных портретов реальных людей.",https://image.openmoviedb.com/kinopoisk-images/1599028/71ce87a6-7205-46c2-991f-bde3477b9e19/x1000,https://image.openmoviedb.com/kinopoisk-images/1599028/71ce87a6-7205-46c2-991f-bde3477b9e19/orig,"",6.1514997482299805
569,Гамлет,"Внезапно умирает король Дании. Его вдова Гертруда спешно вступает в брак с братом покойного мужа Клавдием, которого провозглашают новым королем. Принцу Гамлету является призрак отца и сообщает, что он был предательски отравлен собственным братом.",https://image.openmoviedb.com/kinopoisk-images/1900788/9ec6845d-d55f-47ff-9619-5e3bdf030c22/x1000,https://image.openmoviedb.com/kinopoisk-images/1900788/9ec6845d-d55f-47ff-9619-5e3bdf030c22/orig,"",7.567500114440918
570,Битва за Алжир,"В центре фильма — события алжирской борьбы за независимость в промежутке между 1954 и 1960 гг., пропущенные через воспоминания находящегося под арестом главного героя.",https://image.openmoviedb.com/kinopoisk-images/1599028/56a6a9ed-d629-42ac-9172-311adc7406dd/x1000,https://image.openmoviedb.com/kinopoisk-images/1599028/56a6a9ed-d629-42ac-9172-311adc7406dd/orig,"",7.8545002937316895
571,Сирена,"Обработка двух глав одноименного романа Марии Майеровой. Удивительно жизненное и убедительное повествование о жизни рабочей семьи в течение шахтерской забастовки, ещё полностью незвучащей примитивной идеологической риторикой; безмерная бедность и гордая решимость всё время поражают, ровно как недостаток жизненного контакта фабричной атмосферы, так и пролетариата. Нужда 1889 года имела подобие голода.",https://image.openmoviedb.com/kinopoisk-images/1946459/e0801a71-2ffc-4fce-a212-2b7394ddbe72/x1000,https://image.openmoviedb.com/kinopoisk-images/1946459/e0801a71-2ffc-4fce-a212-2b7394ddbe72/orig,"",5.682499885559082
572,Цю Цзюй идет в суд,"Деревенский староста, толкнув мужа Цю Цзюй, сломал ему ребро, в результате тот две недели не мог работать. Упрямая крестьянка, не удовлетворившись решением местной администрации и материальной компенсацией, решила обратиться в суд и добиться справедливости.",https://image.openmoviedb.com/kinopoisk-images/1704946/67668f0b-bd83-4725-a608-5ef02061f28f/x1000,https://image.openmoviedb.com/kinopoisk-images/1704946/67668f0b-bd83-4725-a608-5ef02061f28f/orig,"",7.566999912261963
573,Иваново детство,"Детство 12-летнего Ивана закончилось в тот день, когда у него на глазах немцы расстреляли мать и сестренку. Отец мальчика погиб на фронте. Оставшись сиротой, Иван уходит в воинскую часть и становится разведчиком.",https://image.openmoviedb.com/kinopoisk-images/1777765/4bec1e85-7b02-45fc-8572-b68d79893e5f/x1000,https://image.openmoviedb.com/kinopoisk-images/1777765/4bec1e85-7b02-45fc-8572-b68d79893e5f/orig,https://image.openmoviedb.com/kinopoisk-ott-images/236744/2a00000161adc231dbfdda741cda9fd78ba3/orig,8.02199935913086
622,Искупление,"Действие фильма начинается в 1935 году и разворачивается на фоне Второй мировой войны. Талантливая тринадцатилетняя писательница Бриони Таллис бесповоротно меняет ход нескольких жизней, когда обвиняет любовника старшей сестры в преступлении, которого он не совершал.",https://image.openmoviedb.com/kinopoisk-images/4774061/93d7c297-15d6-48e4-907a-88ef9ce359c0/x1000,https://image.openmoviedb.com/kinopoisk-images/4774061/93d7c297-15d6-48e4-907a-88ef9ce359c0/orig,https://image.openmoviedb.com/kinopoisk-ott-images/200035/2a00000161288279410f00c33e6008fcae2e/orig,7.929500102996826
574,Глория,"Бывшая подружка гангстера Глория Свенсон находится в трудном положении: в ее квартире прячется шестилетний соседский мальчишка-пуэрториканец Фил Дон, ставший свидетелем расправы мафии над своими родителями. В руках ребенка серьезный компромат на бандитов. Что же делать - отдать парня на растерзание мафии или бежать вместе с ним в неизвестность? Глория выбирает путь борьбы.",https://image.openmoviedb.com/kinopoisk-images/1599028/3d08b333-94c2-49b4-990f-7a24a6cb131e/x1000,https://image.openmoviedb.com/kinopoisk-images/1599028/3d08b333-94c2-49b4-990f-7a24a6cb131e/orig,"",7.067999839782715
575,Дневная красавица,"Верная жена и добропорядочная хозяйка Северина Серизи однажды решается на невероятный и совершенно аморальный эксперимент. Устав от собственной  непогрешимости, она тайно поступает на работу в публичный дом некой мадам Анаис.

Но так как по вечерам и по ночам Северина продолжает играть свою привычную роль буржуазной кошечки, в борделе она получает имя «Дневная красавица».

Как любая проститутка она исполняет все желания своих клиентов. А затем возвращается к домашнему очагу.

Таким образом, Северина начинает вести двойную жизнь. И никто из ее близких даже не догадывается о том, как Северина проводит свои дни.",https://image.openmoviedb.com/kinopoisk-images/1704946/83a78734-8b2e-4a32-9797-d7711b4a5a43/x1000,https://image.openmoviedb.com/kinopoisk-images/1704946/83a78734-8b2e-4a32-9797-d7711b4a5a43/orig,"",7.515999794006348
576,В прошлом году в Мариенбаде,"Французский отель. Молодой человек пытается убедить девушку, что в прошлом году они уже встречались в саду Фредериксбурга. Но девушка не помнит этого человека и не знает, была ли эта встреча в Фредериксбурге или Мариенбаде. Молодой человек описывает момент их встречи. Рассказывает, что она едва не отдалась ему, но передумала в последнюю минуту. Они тогда договорились встретиться здесь через год, чтобы проверить чувства.",https://image.openmoviedb.com/kinopoisk-images/1599028/6019c47d-4bfe-44b9-98b9-3c30eaad6bca/x1000,https://image.openmoviedb.com/kinopoisk-images/1599028/6019c47d-4bfe-44b9-98b9-3c30eaad6bca/orig,"",7.682000160217285
577,Свадьба в сезон дождей,"Героями этой истории стали представители «высшего среднего класса» современной Индии. Члены пенджабской семьи, для которой в порядке вещей стало пересечение западного стиля и старых традиций.

Съезжаясь на свадьбу 24-летней Адити в Нью-Дели со всех концов света, ее многочисленные родственники привозят самые разные представления о жизни. Из всех шкафов начинают вываливаться скелеты и тайны...",https://image.openmoviedb.com/kinopoisk-images/1900788/a2742622-2628-439c-af22-022c92813373/x1000,https://image.openmoviedb.com/kinopoisk-images/1900788/a2742622-2628-439c-af22-022c92813373/orig,"",7.008000373840332
578,Земля кочевников,"После закрытия завода по производству гипсокартона в январе 2011 года 60-летняя женщина Ферн остаётся без работы и средств к существованию. Погрузив свой небогатый скарб в фургон, Ферн становится современным кочевником — одной из людей, путешествующих из штата в штат в поисках сезонного заработка.",https://image.openmoviedb.com/kinopoisk-images/4486362/163eae24-c073-43f6-a21d-d905d0f1e8da/x1000,https://image.openmoviedb.com/kinopoisk-images/4486362/163eae24-c073-43f6-a21d-d905d0f1e8da/orig,https://image.openmoviedb.com/kinopoisk-ott-images/2439731/2a000001787f3f185e1955fb944fa29aa3e7/orig,7.261000156402588
579,"Женщина, которая ушла","Бывшая учительница начальных классов Орасия осуждена провести 30 лет в женской исправительной колонии. В заключении она ведет смиренный образ жизни, помогая другим женщинам осваивать навыки чтения и письма. Когда обнаружится истинный виновник преступления, Орасия выходит на свободу и отправляется на поиски своей семьи. Открывая мир заново, она лишь убеждается в его испорченности: коррупция и бандитизм захлестывают Филиппины. Благородная душа героини охвачена гневом и преисполнена желанием мести.",https://image.openmoviedb.com/kinopoisk-images/1600647/fcd4a26d-e9e5-4a1a-bb67-52cbe6956b1f/x1000,https://image.openmoviedb.com/kinopoisk-images/1600647/fcd4a26d-e9e5-4a1a-bb67-52cbe6956b1f/orig,"",6.939000129699707
580,Где-то,"Утопая в оргиях и пьянках, дорогих машинах и поклонницах, прожженная голливудская звезда Джонни Марко ведет распутную жизнь. Забившись в кокон греха и порока, он теряет себя. Однажды в роскошном отеле Шато Мормон его разыскивает его 11-летняя дочь.",https://image.openmoviedb.com/kinopoisk-images/1599028/fc4f4b14-e832-4adc-ad68-928526530c13/x1000,https://image.openmoviedb.com/kinopoisk-images/1599028/fc4f4b14-e832-4adc-ad68-928526530c13/orig,https://image.openmoviedb.com/kinopoisk-ott-images/224348/2a0000016229895fa0dfa0ba8b0bf66f1725/orig,6.107500076293945
581,Рома,История жизни обычной семьи среднего класса в Мехико 1970-х.,https://image.openmoviedb.com/kinopoisk-images/1946459/260fb240-962c-4789-af5d-26ea8527621f/x1000,https://image.openmoviedb.com/kinopoisk-images/1946459/260fb240-962c-4789-af5d-26ea8527621f/orig,"",7.429999828338623
582,Генерал Делла Ровере,"Действие фильма происходит во время немецкой оккупации Генуи зимой 1943-1944 годов. После того как гестаповцы случайно убивают генерала Делла Ровере, лидера итальянского Сопротивления, местный комендант убеждает Бардоне, аморального мошенника, выдавать себя за убитого генерала. Под его именем Бардоне отсылают в миланскую тюрьму, где он должен узнать лидера партизан, с которым Делла Ровере собирался встретиться перед смертью. 

Бардоне, однако, начинает идентифицировать себя со своими товарищами-заключенными и находит в себе недоступные ему доселе моральные силы и дух лидера Сопротивления.",https://image.openmoviedb.com/kinopoisk-images/1600647/6cd445b1-4122-4365-b38d-6b80a48e5e24/x1000,https://image.openmoviedb.com/kinopoisk-images/1600647/6cd445b1-4122-4365-b38d-6b80a48e5e24/orig,"",7.560500144958496
583,Три цвета: Синий,"История молодой женщины, чудом выжившей в автокатастрофе, но потерявшей мужа — известного композитора — и пятилетнюю дочь.",https://image.openmoviedb.com/kinopoisk-images/6201401/a3e9dc15-2d39-4fa0-ae56-084b7eb9cce0/x1000,https://image.openmoviedb.com/kinopoisk-images/6201401/a3e9dc15-2d39-4fa0-ae56-084b7eb9cce0/orig,"",7.744999885559082
584,Горбатая гора,"На фоне живописных просторов штата Вайоминг разворачивается история сложных взаимоотношений двух молодых людей – помощника владельца ранчо и ковбоя родео. Герои случайно встречаются и скоро понимают, что не могут жить друг без друга. Однако судьба упрямо испытывает их на прочность.",https://image.openmoviedb.com/kinopoisk-images/1773646/2c2deccc-a3f7-43ba-825b-e42aea5dbf2f/x1000,https://image.openmoviedb.com/kinopoisk-images/1773646/2c2deccc-a3f7-43ba-825b-e42aea5dbf2f/orig,https://image.openmoviedb.com/kinopoisk-ott-images/1531675/2a00000176680c1e3250d9adabbd157aa3d0/orig,7.651000022888184
585,Сестры Магдалины,"1964 год. Три молодые девушки Роза, Бернадетта и Маргарет попадают в воспитательно-исправительный приют Святой Магдалины при католической церкви. Теперь за свои грехи они подвергаются телесным наказаниям и бесплатно работают в прачечной без выходных. Девушки решаются на побег.",https://image.openmoviedb.com/kinopoisk-images/1773646/e8b9ef46-ec14-4757-b9ca-9efffd07d855/x1000,https://image.openmoviedb.com/kinopoisk-images/1773646/e8b9ef46-ec14-4757-b9ca-9efffd07d855/orig,https://image.openmoviedb.com/kinopoisk-ott-images/239697/2a00000161adbe45703d7d4f0423166c1c85/orig,7.710999965667725
586,Круг,"Истории четырёх женщин, которые борются против откровенной дискриминации по половому признаку.",https://image.openmoviedb.com/kinopoisk-images/1704946/763b5f8a-b2c5-4281-96cb-a8041db42643/x1000,https://image.openmoviedb.com/kinopoisk-images/1704946/763b5f8a-b2c5-4281-96cb-a8041db42643/orig,"",7.0904998779296875
587,Большая война,"Мелкий жулик Джованни наивно полагал, что ему удастся переждать войну в казенном доме на полном гособеспечении. Но государство сделало ему подарок в виде амнистии и отправило на фронт. Второй персонаж фильма — парикмахер Оресте всю войну отсиживался на призывном участке и обирал новобранцев, желавших откосить от армии. Среди обманутых оказался и Джузеппе. И вот в один далеко не прекрасный для него день Оресте потерял насиженное место и оказался в военном эшелоне, который вез призывников на верную смерть. В том же эшелоне на фронт везли и Джованни.",https://image.openmoviedb.com/kinopoisk-images/1777765/ffc70d26-6854-409e-9ac4-ee1f107e954b/x1000,https://image.openmoviedb.com/kinopoisk-images/1777765/ffc70d26-6854-409e-9ac4-ee1f107e954b/orig,"",7.58650016784668
